test_set,likely_reason,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate,mean_f1,mean_iou,mean_precision,mean_recall,mean_error_area_ratio,mean_pred_gt_area_ratio,mean_h95_signal_ratio,selected_images
FCD,fragmented_prediction_noise,15,1014,79,7084,0.014577259475218658,0.1595744680851064,0.026714158504007122,0.013537906137184115,0.8665771484375,0.8747838972585824,0.12521610274141765,0.8404255319148937,0.02274404174556187,0.011517069820956747,0.012738460453471562,0.18101851851851852,0.1334228515625,12.191666666666666,1.2402840754476299,2
FCD,large_over_prediction,15,1014,79,7084,0.014577259475218658,0.1595744680851064,0.026714158504007122,0.013537906137184115,0.8665771484375,0.8747838972585824,0.12521610274141765,0.8404255319148937,0.02274404174556187,0.011517069820956747,0.012738460453471562,0.18101851851851852,0.1334228515625,12.191666666666666,1.2402840754476299,2
FCD,tiny_tamper_region,15,1014,79,7084,0.014577259475218658,0.1595744680851064,0.026714158504007122,0.013537906137184115,0.8665771484375,0.8747838972585824,0.12521610274141765,0.8404255319148937,0.02274404174556187,0.011517069820956747,0.012738460453471562,0.18101851851851852,0.1334228515625,12.191666666666666,1.2402840754476299,2
FCD,weak_h95_forensic_signal,2,205,52,3837,0.00966183574879227,0.037037037037037035,0.01532567049808429,0.007722007722007722,0.937255859375,0.9492825333993072,0.05071746660069273,0.9629629629629629,0.01532567049808429,0.007722007722007722,0.00966183574879227,0.037037037037037035,0.062744140625,3.8333333333333335,1.0677065718960117,1
SCD,fragmented_prediction_noise,15,1014,79,7084,0.014577259475218658,0.1595744680851064,0.026714158504007122,0.013537906137184115,0.8665771484375,0.8747838972585824,0.12521610274141765,0.8404255319148937,0.02274404174556187,0.011517069820956747,0.012738460453471562,0.18101851851851852,0.1334228515625,12.191666666666666,1.2402840754476299,2
SCD,large_over_prediction,15,1014,79,7084,0.014577259475218658,0.1595744680851064,0.026714158504007122,0.013537906137184115,0.8665771484375,0.8747838972585824,0.12521610274141765,0.8404255319148937,0.02274404174556187,0.011517069820956747,0.012738460453471562,0.18101851851851852,0.1334228515625,12.191666666666666,1.2402840754476299,2
SCD,tiny_tamper_region,15,1014,79,7084,0.014577259475218658,0.1595744680851064,0.026714158504007122,0.013537906137184115,0.8665771484375,0.8747838972585824,0.12521610274141765,0.8404255319148937,0.02274404174556187,0.011517069820956747,0.012738460453471562,0.18101851851851852,0.1334228515625,12.191666666666666,1.2402840754476299,2
SCD,weak_h95_forensic_signal,2,205,52,3837,0.00966183574879227,0.037037037037037035,0.01532567049808429,0.007722007722007722,0.937255859375,0.9492825333993072,0.05071746660069273,0.9629629629629629,0.01532567049808429,0.007722007722007722,0.00966183574879227,0.037037037037037035,0.062744140625,3.8333333333333335,1.0677065718960117,1
TestingSet,fragmented_prediction_noise,15,1014,79,7084,0.014577259475218658,0.1595744680851064,0.026714158504007122,0.013537906137184115,0.8665771484375,0.8747838972585824,0.12521610274141765,0.8404255319148937,0.02274404174556187,0.011517069820956747,0.012738460453471562,0.18101851851851852,0.1334228515625,12.191666666666666,1.2402840754476299,2
TestingSet,large_over_prediction,15,1014,79,7084,0.014577259475218658,0.1595744680851064,0.026714158504007122,0.013537906137184115,0.8665771484375,0.8747838972585824,0.12521610274141765,0.8404255319148937,0.02274404174556187,0.011517069820956747,0.012738460453471562,0.18101851851851852,0.1334228515625,12.191666666666666,1.2402840754476299,2
TestingSet,tiny_tamper_region,15,1014,79,7084,0.014577259475218658,0.1595744680851064,0.026714158504007122,0.013537906137184115,0.8665771484375,0.8747838972585824,0.12521610274141765,0.8404255319148937,0.02274404174556187,0.011517069820956747,0.012738460453471562,0.18101851851851852,0.1334228515625,12.191666666666666,1.2402840754476299,2
TestingSet,weak_h95_forensic_signal,2,205,52,3837,0.00966183574879227,0.037037037037037035,0.01532567049808429,0.007722007722007722,0.937255859375,0.9492825333993072,0.05071746660069273,0.9629629629629629,0.01532567049808429,0.007722007722007722,0.00966183574879227,0.037037037037037035,0.062744140625,3.8333333333333335,1.0677065718960117,1
